complaint_hour,fraud_amount,fraud_type,victim_district,withdrawal_lat,withdrawal_lon,hours_to_withdrawal,risk_score,cluster_id
11,5000,NetBanking,Mysore,12.9766,77.5932,1.18,5.0,0
15,100000,Debit,Mangalore,12.9781,77.6098,3.17,100.0,0
10,50000,CreditCard,Bangalore,12.9077,77.6077,1.8,50.0,3
9,20000,CreditCard,Hubli,13.017,77.5877,2.36,20.0,2
21,5000,NetBanking,Mysore,12.9965,77.5854,1.61,25.0,2
10,5000,UPI,Mangalore,12.967,77.5899,3.18,5.0,0
9,100000,NetBanking,Hubli,12.9376,77.6054,3.17,100.0,1
11,50000,Debit,Mangalore,12.9544,77.589,1.02,50.0,0
22,50000,CreditCard,Hubli,12.9251,77.6276,3.51,70.0,1
22,20000,Debit,Bangalore,12.9009,77.5959,1.12,40.0,3
15,15000,UPI,Hubli,13.0159,77.5777,2.06,15.0,2
14,100000,UPI,Mangalore,12.9107,77.5958,3.0,100.0,3
22,10000,CreditCard,Bangalore,12.9546,77.7011,0.51,30.0,4
22,50000,CreditCard,Hubli,12.9237,77.6283,3.65,70.0,1
22,100000,UPI,Bangalore,12.9292,77.6216,2.44,100.0,1
10,10000,CreditCard,Mangalore,12.9656,77.6131,0.77,10.0,0
14,50000,NetBanking,Bangalore,12.9351,77.6139,1.5,50.0,1
15,15000,Debit,Bangalore,12.9798,77.5824,3.99,15.0,0
16,100000,NetBanking,Mysore,12.9737,77.575,1.4,100.0,0
16,100000,NetBanking,Mysore,12.9219,77.6265,0.74,100.0,1
16,100000,NetBanking,Mangalore,12.979,77.5963,1.3,100.0,0
10,5000,CreditCard,Mysore,12.9704,77.5916,2.51,5.0,0
16,20000,NetBanking,Hubli,12.9864,77.5728,0.94,20.0,2
15,10000,UPI,Bangalore,12.9554,77.7106,1.97,10.0,4
14,20000,NetBanking,Mangalore,12.9386,77.6069,2.4,20.0,1
14,100000,UPI,Bangalore,13.0044,77.5761,1.94,100.0,2
11,5000,CreditCard,Mangalore,12.9532,77.7061,1.84,5.0,4
16,5000,UPI,Bangalore,12.9455,77.6338,2.29,5.0,1
9,20000,NetBanking,Hubli,12.9928,77.5769,1.92,20.0,2
10,100000,UPI,Mysore,12.9133,77.6198,3.36,100.0,3
21,15000,CreditCard,Hubli,12.9052,77.6081,2.63,35.0,3
21,15000,CreditCard,Mangalore,12.8989,77.598,0.89,35.0,3
22,15000,NetBanking,Mysore,12.9797,77.6082,0.53,35.0,0
20,5000,UPI,Mangalore,12.9345,77.6345,2.0,25.0,1
